Tỉnh Thành Phố,Mã TP,Quận Huyện,Mã QH,Phường Xã,Mã PX,Cấp,Tên Tiếng Anh
Hà Nội,1,Ba Đình,1,Phúc Xá,1,Phường,
Hà Nội,1,Ba Đình,1,Trúc Bạch,4,Phường,
Hà Nội,1,Ba Đình,1,Vĩnh Phúc,6,Phường,Vinh Phuc Commune
Hà Nội,1,Ba Đình,1,Cống Vị,7,Phường,
Hà Nội,1,Ba Đình,1,Liễu Giai,8,Phường,Lieu Giai Commune
Hà Nội,1,Ba Đình,1,Nguyễn Trung Trực,10,Phường,
Hà Nội,1,Ba Đình,1,Quán Thánh,13,Phường,
Hà Nội,1,Ba Đình,1,Ngọc Hà,16,Phường,
Hà Nội,1,Ba Đình,1,Điện Biên,19,Phường,
Hà Nội,1,Ba Đình,1,Đội Cấn,22,Phường,
Hà Nội,1,Ba Đình,1,Ngọc Khánh,25,Phường,
Hà Nội,1,Ba Đình,1,Kim Mã,28,Phường,
Hà Nội,1,Ba Đình,1,Giảng Võ,31,Phường,
Hà Nội,1,Ba Đình,1,Thành Công,34,Phường,
Hà Nội,1,Hoàn Kiếm,2,Phúc Tân,37,Phường,
Hà Nội,1,Hoàn Kiếm,2,Đồng Xuân,40,Phường,
Hà Nội,1,Hoàn Kiếm,2,Hàng Mã,43,Phường,
Hà Nội,1,Hoàn Kiếm,2,Hàng Buồm,46,Phường,
Hà Nội,1,Hoàn Kiếm,2,Hàng Đào,49,Phường,
Hà Nội,1,Hoàn Kiếm,2,Hàng Bồ,52,Phường,
Hà Nội,1,Hoàn Kiếm,2,Cửa Đông,55,Phường,
Hà Nội,1,Hoàn Kiếm,2,Lý Thái Tổ,58,Phường,
Hà Nội,1,Hoàn Kiếm,2,Hàng Bạc,61,Phường,
Hà Nội,1,Hoàn Kiếm,2,Hàng Gai,64,Phường,
Hà Nội,1,Hoàn Kiếm,2,Chương Dương,67,Phường,
Hà Nội,1,Hoàn Kiếm,2,Hàng Trống,70,Phường,
Hà Nội,1,Hoàn Kiếm,2,Cửa Nam,73,Phường,
Hà Nội,1,Hoàn Kiếm,2,Hàng Bông,76,Phường,
Hà Nội,1,Hoàn Kiếm,2,Tràng Tiền,79,Phường,
Hà Nội,1,Hoàn Kiếm,2,Trần Hưng Đạo,82,Phường,
Hà Nội,1,Hoàn Kiếm,2,Phan Chu Trinh,85,Phường,
Hà Nội,1,Hoàn Kiếm,2,Hàng Bài,88,Phường,
Hà Nội,1,Tây Hồ,3,Phú Thượng,91,Phường,
Hà Nội,1,Tây Hồ,3,Nhật Tân,94,Phường,
Hà Nội,1,Tây Hồ,3,Tứ Liên,97,Phường,
Hà Nội,1,Tây Hồ,3,Quảng An,100,Phường,
Hà Nội,1,Tây Hồ,3,Xuân La,103,Phường,
Hà Nội,1,Tây Hồ,3,Yên Phụ,106,Phường,
Hà Nội,1,Tây Hồ,3,Bưởi,109,Phường,
Hà Nội,1,Tây Hồ,3,Thụy Khuê,112,Phường,
Hà Nội,1,Long Biên,4,Thượng Thanh,115,Phường,
Hà Nội,1,Long Biên,4,Ngọc Thụy,118,Phường,
Hà Nội,1,Long Biên,4,Giang Biên,121,Phường,
Hà Nội,1,Long Biên,4,Đức Giang,124,Phường,
Hà Nội,1,Long Biên,4,Việt Hưng,127,Phường,
Hà Nội,1,Long Biên,4,Gia Thụy,130,Phường,
Hà Nội,1,Long Biên,4,Ngọc Lâm,133,Phường,
Hà Nội,1,Long Biên,4,Phúc Lợi,136,Phường,
Hà Nội,1,Long Biên,4,Bồ Đề,139,Phường,
Hà Nội,1,Long Biên,4,Sài Đồng,142,Phường,
Hà Nội,1,Long Biên,4,Long Biên,145,Phường,
Hà Nội,1,Long Biên,4,Thạch Bàn,148,Phường,
Hà Nội,1,Long Biên,4,Phúc Đồng,151,Phường,
Hà Nội,1,Long Biên,4,Cự Khối,154,Phường,
Hà Nội,1,Cầu Giấy,5,Nghĩa Đô,157,Phường,
Hà Nội,1,Cầu Giấy,5,Nghĩa Tân,160,Phường,
Hà Nội,1,Cầu Giấy,5,Mai Dịch,163,Phường,
Hà Nội,1,Cầu Giấy,5,Dịch Vọng,166,Phường,
